Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestAll,Chrome 114.0.0.0,,,2023-06-24 19:56:20,2023-06-24 19:56:49,"29,217s",PASSED
,,,,,,,
Test Cases/Keywords,Chrome 114.0.0.0,,,2023-06-24 19:56:20,2023-06-24 19:56:32,"11,788s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-24 19:56:20,2023-06-24 19:56:22,"1,922s",PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-24 19:56:22,2023-06-24 19:56:24,"1,430s",PASSED
"click(findTestObject(""Object Repository/KatalonDemo/InkMakeAppointment""))",Chrome 114.0.0.0,,,2023-06-24 19:56:24,2023-06-24 19:56:24,"0,568s",PASSED
"setText(findTestObject(""Object Repository/KatalonDemo/inputUsername""), Username)",Chrome 114.0.0.0,,,2023-06-24 19:56:24,2023-06-24 19:56:25,"0,732s",PASSED
"setText(findTestObject(""Object Repository/KatalonDemo/inputPassword""), Password)",Chrome 114.0.0.0,,,2023-06-24 19:56:25,2023-06-24 19:56:26,"0,570s",PASSED
"click(findTestObject(""Object Repository/KatalonDemo/button_Login""))",Chrome 114.0.0.0,,,2023-06-24 19:56:26,2023-06-24 19:56:26,"0,570s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/KatalonDemo/SelectFacility""), ""Seoul CURA Healthcare Center"", true)",Chrome 114.0.0.0,,,2023-06-24 19:56:26,2023-06-24 19:56:27,"0,868s",PASSED
"check(findTestObject(""Object Repository/KatalonDemo/input_Apply for hospital readmission_hospit_63901f""))",Chrome 114.0.0.0,,,2023-06-24 19:56:27,2023-06-24 19:56:27,"0,309s",PASSED
"check(findTestObject(""Object Repository/KatalonDemo/label_Medicaid""))",Chrome 114.0.0.0,,,2023-06-24 19:56:27,2023-06-24 19:56:28,"0,298s",PASSED
"setText(findTestObject(""Object Repository/KatalonDemo/input_Visit Date (Required)_visit_date""), ""26.06.2023"")",Chrome 114.0.0.0,,,2023-06-24 19:56:28,2023-06-24 19:56:28,"0,612s",PASSED
"click(findTestObject(""Object Repository/KatalonDemo/td_26""))",Chrome 114.0.0.0,,,2023-06-24 19:56:28,2023-06-24 19:56:29,"0,502s",PASSED
